person,name,year
https://data.muziekweb.nl/Link/M00000005358,Pacheco,1935
https://data.muziekweb.nl/Link/M00000005358,Johnny Pacheco,1935
https://data.muziekweb.nl/Link/M00000005368,Zal Yanovsky,1944
https://data.muziekweb.nl/Link/M00000005368,Zalman Yanovsky,1944
https://data.muziekweb.nl/Link/M00000005381,Jacques Stotzem,1959
https://data.muziekweb.nl/Link/M00000005392,"Antonio Nuñez ""El Chocolate""",1930
https://data.muziekweb.nl/Link/M00000005392,Antonio de la Santísima Trinidad Núñez Montoya,1930
https://data.muziekweb.nl/Link/M00000005392,El Chocolate,1930
https://data.muziekweb.nl/Link/M00000005413,Ned Rothenberg,1956
https://data.muziekweb.nl/Link/M00000005478,José Angel Lomio,1904
https://data.muziekweb.nl/Link/M00000005478,Angel Vargas [AR],1904
https://data.muziekweb.nl/Link/M00000005490,Gerald Wiggins,1922
https://data.muziekweb.nl/Link/M00000005501,Arni Egilsson,1939
https://data.muziekweb.nl/Link/M00000005503,Earl Palmer,1924
https://data.muziekweb.nl/Link/M00000005565,Thomas Burke,1890
https://data.muziekweb.nl/Link/M00000005565,Tom Burke,1890
https://data.muziekweb.nl/Link/M00000005673,Julio de Caro,1899
https://data.muziekweb.nl/Link/M00000005749,Bernardo Sandoval,1958
https://data.muziekweb.nl/Link/M00000005771,Roy Fox,1901
https://data.muziekweb.nl/Link/M00000005881,Giuseppe Danise,1882
https://data.muziekweb.nl/Link/M00000005903,John James Sykes,1959
https://data.muziekweb.nl/Link/M00000005903,John Sykes,1959
https://data.muziekweb.nl/Link/M00000005985,Gustavo Pazos Conde,1960
https://data.muziekweb.nl/Link/M00000006007,Dan Hicks,1941
https://data.muziekweb.nl/Link/M00000006031,Alec Finn,1944
https://data.muziekweb.nl/Link/M00000006043,Marijke Merckens,1940
https://data.muziekweb.nl/Link/M00000006204,Fanny Brice,1891
https://data.muziekweb.nl/Link/M00000006233,Pino Daniele,1955
https://data.muziekweb.nl/Link/M00000006279,Wim De Craene,1950
https://data.muziekweb.nl/Link/M00000006338,Henriette Ragon,1918
https://data.muziekweb.nl/Link/M00000006338,Patachou,1918
https://data.muziekweb.nl/Link/M00000006400,Cock van der Palm,1936
https://data.muziekweb.nl/Link/M00000006427,Robert Jean-François Pascal Lapointe,1922
https://data.muziekweb.nl/Link/M00000006427,Boby Lapointe,1922
https://data.muziekweb.nl/Link/M00000006500,Alexander Gafa,1941
https://data.muziekweb.nl/Link/M00000006500,Al Gafa,1941
https://data.muziekweb.nl/Link/M00000006507,Edith Garmezano,1928
https://data.muziekweb.nl/Link/M00000006507,Eydie Gormé,1928
https://data.muziekweb.nl/Link/M00000006546,Florence Catherine Currier,1924
https://data.muziekweb.nl/Link/M00000006546,Jane Morgan,1924
https://data.muziekweb.nl/Link/M00000006582,Yann Pierre Tiersen,1970
https://data.muziekweb.nl/Link/M00000006582,Yann Tiersen,1970
https://data.muziekweb.nl/Link/M00000006592,David Whitfield,1925
https://data.muziekweb.nl/Link/M00000006643,Jimmie Noone,1895
https://data.muziekweb.nl/Link/M00000006665,A.J. Sciacca,1921
https://data.muziekweb.nl/Link/M00000006665,Tony Scott [US],1921
https://data.muziekweb.nl/Link/M00000006683,Bobby Hackett,1915
https://data.muziekweb.nl/Link/M00000006685,Kitty Kallen,1921
https://data.muziekweb.nl/Link/M00000006727,V.M. Bhatt,1950
https://data.muziekweb.nl/Link/M00000006727,Vishwamohan Bhatt,1950
https://data.muziekweb.nl/Link/M00000006727,Vishwa Mohan Bhatt,1950
https://data.muziekweb.nl/Link/M00000006782,George Winston,1949
https://data.muziekweb.nl/Link/M00000006794,Clifford Brown,1930
https://data.muziekweb.nl/Link/M00000006879,John Kenneth Wetton,1949
https://data.muziekweb.nl/Link/M00000006879,John Wetton,1949
https://data.muziekweb.nl/Link/M00000006981,Ray Manzarek,1939
https://data.muziekweb.nl/Link/M00000006991,Michelino Bisceglia,1970
https://data.muziekweb.nl/Link/M00000006991,Michel Bisceglia,1970
https://data.muziekweb.nl/Link/M00000007027,Art Van Damme,1920
https://data.muziekweb.nl/Link/M00000007048,Nouri Koufi,1954
https://data.muziekweb.nl/Link/M00000007115,Tommy Emmanuel CGP,1955
https://data.muziekweb.nl/Link/M00000007115,Tommy Emmanuel,1955
https://data.muziekweb.nl/Link/M00000007173,Staffan Biörklund-Jullander,1955
https://data.muziekweb.nl/Link/M00000007405,Richard Thomas,1951
https://data.muziekweb.nl/Link/M00000007462,Bobby Timmons,1935
https://data.muziekweb.nl/Link/M00000007501,Henk Westbroek,1952
https://data.muziekweb.nl/Link/M00000007516,Audrey Hepburn,1929
https://data.muziekweb.nl/Link/M00000007603,"Eddie ""Cleanhead"" Vinson",1917
https://data.muziekweb.nl/Link/M00000007608,Engel Reinhoudt,1946
https://data.muziekweb.nl/Link/M00000007611,John Lewis Starling,1940
https://data.muziekweb.nl/Link/M00000007611,John Starling,1940
https://data.muziekweb.nl/Link/M00000007620,Bill Murray,1950
https://data.muziekweb.nl/Link/M00000007665,Johnny Clegg,1953
https://data.muziekweb.nl/Link/M00000007666,Giuseppe Lugo,1898
https://data.muziekweb.nl/Link/M00000007675,Thomas Köner,1965
https://data.muziekweb.nl/Link/M00000007698,Jason Molina,1973
https://data.muziekweb.nl/Link/M00000007698,Songs: Ohia,1973
https://data.muziekweb.nl/Link/M00000007708,Kevin Costner,1955
https://data.muziekweb.nl/Link/M00000007771,Joseph Jarman,1937
https://data.muziekweb.nl/Link/M00000007804,Boris Vian,1920
https://data.muziekweb.nl/Link/M00000007815,John Prine,1946
https://data.muziekweb.nl/Link/M00000007850,Boruch Alan Bermowitz,1938
https://data.muziekweb.nl/Link/M00000007850,Alan Vega,1938
https://data.muziekweb.nl/Link/M00000007860,Bill Whelan,1950
https://data.muziekweb.nl/Link/M00000007914,Michel Delpech,1946
https://data.muziekweb.nl/Link/M00000007979,Frank Fruim Abelson,1928
https://data.muziekweb.nl/Link/M00000007979,Frankie Vaughan,1928
https://data.muziekweb.nl/Link/M00000008028,Gerald Stanley Wilson,1918
https://data.muziekweb.nl/Link/M00000008028,Gerald Wilson,1918
