person,name,year
https://data.muziekschatten.nl/som/019d6ad139b4245032d3992e9ea5e3f7,DZIGA VERTOV,1896
https://data.muziekschatten.nl/som/019f3492073a4c905418dd8c283f32c7,BERT LASSING,1940
https://data.muziekschatten.nl/som/01a0aeb59be9d05d7c607577eea8ffd1,JOHN GUMMOE,1938
https://data.muziekschatten.nl/som/01a25179ec92db05afeb31f3a63e17a8,PAUL CUNNINGHAM,1890
https://data.muziekschatten.nl/som/01a959500c46998a11380070d61fdb1f,NIEUWENHOVE,1814
https://data.muziekschatten.nl/som/01a959500c46998a11380070d61fdb1f,ARMAND LIMNANDER DE NIEUWENHOVE,1814
https://data.muziekschatten.nl/som/01affb9c504a93a0c8f4239cb8a455c7,CHARLES DARWIN,1758
https://data.muziekschatten.nl/som/01b4493a7603a1532a603d4b28886886,HALIK ZAIMOV,1914
https://data.muziekschatten.nl/som/01b5966e20cf7d427ae9a4a14f216e3e,http://sr.wikipedia.org/sr-el/,1977
https://data.muziekschatten.nl/som/01b5966e20cf7d427ae9a4a14f216e3e,SLOBODAN TRKULJA,1977
https://data.muziekschatten.nl/som/01b63c28eccb20dc2a2abda967564925,SIEGFRIED STOLTE,1925
https://data.muziekschatten.nl/som/01b78cfa701556ccfaa936b369560fde,ERIK BREY,1956
https://data.muziekschatten.nl/som/01b99c067ab3e8f1eea7bfbf6f0e83ff,ZOLTÁN PONGRÁCZ,1912
https://data.muziekschatten.nl/som/01ba701eb6faeb6748f146c8b2e3cc77,SARAH LEVY,1953
https://data.muziekschatten.nl/som/01bc073b65b780343ae5355c5e8c95bd,GLEN POWELL,1901
https://data.muziekschatten.nl/som/01bc5d3b462e948badab6ac5470de4b6,POROTSKIY,1944
https://data.muziekschatten.nl/som/01bc5d3b462e948badab6ac5470de4b6,VLADIMIR POROCKIJ,1944
https://data.muziekschatten.nl/som/01c071be619de0a1b1862ec90e2ea9fc,LEX PHILIPSE,19..
https://data.muziekschatten.nl/som/01c1b657aee0f8fa46a12c269c074151,LOU FORBES,1902
https://data.muziekschatten.nl/som/01c5250df429691293947997f72ceb0d,ADOLPHE PIRIOU,1878
https://data.muziekschatten.nl/som/01c588762a0d8bde90d5d8cdc180ab1e,LUCAS PUXOL,1601
https://data.muziekschatten.nl/som/01c588762a0d8bde90d5d8cdc180ab1e,LUCAS PUXOL,16..
https://data.muziekschatten.nl/som/01c9cecb0d34b3f688deb673517cc64d,ADRIANO LUALDI,1885
https://data.muziekschatten.nl/som/01cbb2aa63a955f9b1e6d67135120b4e,HUGO SCHUNCKE,1823
https://data.muziekschatten.nl/som/01cd893f12df653286f400d47f0fd474,HENRI DE LA COURT,1501
https://data.muziekschatten.nl/som/01cd893f12df653286f400d47f0fd474,HENRI DE LA COURT,15..
https://data.muziekschatten.nl/som/01cef8bfb6e2906715b3649a6380d847,ALVIN LEE,1944
https://data.muziekschatten.nl/som/01d02260442764a9bda5f6ef40d35be1,JAN-PETER DE GRAAFF,1992
https://data.muziekschatten.nl/som/01d1d0521a64d9cb28c56737ef523145,NATHANAEL SCHNITTELBACH,1633
https://data.muziekschatten.nl/som/01d2641d3cf5ec3948b96276da672742,PHILIP THE CHANCELLOR,1160
https://data.muziekschatten.nl/som/01d2641d3cf5ec3948b96276da672742,PHILIPP DER KANZLER,1160
https://data.muziekschatten.nl/som/01d2641d3cf5ec3948b96276da672742,PHILIPPE LE CHANCELIER,1160
https://data.muziekschatten.nl/som/01d2641d3cf5ec3948b96276da672742,PHILIPPUS CANCELLARIUS,1160
https://data.muziekschatten.nl/som/01d2641d3cf5ec3948b96276da672742,PHILIPPUS DE KANSELIER,1160
https://data.muziekschatten.nl/som/01dcb65b8601f5501e0a2b7c180ba638,AMANDA HOLDEN,1948
https://data.muziekschatten.nl/som/01de7a210f18a1fdb6829aa5f1d19aeb,CAS BENT,1908
https://data.muziekschatten.nl/som/01de7a210f18a1fdb6829aa5f1d19aeb,BART EKKERS,1908
https://data.muziekschatten.nl/som/01de7a210f18a1fdb6829aa5f1d19aeb,GUUS HOLM,1908
https://data.muziekschatten.nl/som/01de7a210f18a1fdb6829aa5f1d19aeb,SNIJDEWIND,1908
https://data.muziekschatten.nl/som/01de7a210f18a1fdb6829aa5f1d19aeb,HENNY BLONK,1908
https://data.muziekschatten.nl/som/01e2abbc6ec4a16f980ecf842ef7dbb5,TOM VAN MAAREN,1916
https://data.muziekschatten.nl/som/01e4758bd56e82585ef067fbcf3ff2d3,ADOLPH MARTIN FOERSTER,1854
https://data.muziekschatten.nl/som/01e7e776d327dc9e464fa44fc2599bf7,SCHUNKE,1810
https://data.muziekschatten.nl/som/01e7e776d327dc9e464fa44fc2599bf7,CHRISTIAN LUDWIG SCHUNCKE,1810
https://data.muziekschatten.nl/som/01ebc231e6c9f90ba1c1e40ebf8f6ce1,JEROME BASSANO,1558
https://data.muziekschatten.nl/som/01ed324624e5c88bbaaf762071db1cea,JOHANN PHILIPP EISEL,1698
https://data.muziekschatten.nl/som/01f025ed0064bd1174757e672eccc76c,PERCY FRENCH,1854
https://data.muziekschatten.nl/som/01f6499e836eff6d048c52c6503e6d8d,ALLAIN LEPREST,1954
https://data.muziekschatten.nl/som/01f6512180c5689c62473bbce15c7e6e,FRITS RADEMACHER,1928
https://data.muziekschatten.nl/som/01f70815e0116a15539c0b9c0e47ac9d,CEES DE LANGE,1913
https://data.muziekschatten.nl/som/01f9a4f27f2588b3e767a573332176ab,JOSEPH SCHUBERT,1754
https://data.muziekschatten.nl/som/0205897badc439295505e2ee43fbad3b,BEN LIBOSAN,1914
https://data.muziekschatten.nl/som/020721883599fae3ba8b317b1d956eb7,KARL AUGUST ENGELHARDT,1768
https://data.muziekschatten.nl/som/020b7c28655e20635305cc1259aa8e7d,YOSHIHIRO ABIKO,1951
https://data.muziekschatten.nl/som/020c37a184ed425049468d4437ea2577,JULIAN HERBAGE,1904
https://data.muziekschatten.nl/som/020d440250d557e3d674141b18df8dc7,CHRISTOPHE AUGUSTE GABLER,1767
https://data.muziekschatten.nl/som/020e3e6d00cac7e2e389bdd0467ea8b7,JACK JUDGE,1872
https://data.muziekschatten.nl/som/02129d31f63644ec8fbb9a47f74c9f5e,FEIST,1976
https://data.muziekschatten.nl/som/02151fbe96b1f79d227a52df69e69db3,KARI VÄKEVÄ,1957
